Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"2024-08-15 00:00:00";371;;;;20
"2024-08-16 00:00:00";384;;;;23
"2024-08-17 00:00:00";372;;;;25
"2024-08-18 00:00:00";314;;;;23
"2024-08-19 00:00:00";325;;;;18
"2024-08-20 00:00:00";330;;;;25
"2024-08-21 00:00:00";338;;;;22
"2024-08-22 00:00:00";364;;;;14
"2024-08-23 00:00:00";429;;;;23
"2024-08-24 00:00:00";489;;;;30
"2024-08-25 00:00:00";444;;;;23
"2024-08-26 00:00:00";345;;;;23
"2024-08-27 00:00:00";335;;;;25
"2024-08-28 00:00:00";361;;;;27
"2024-08-29 00:00:00";392;;;;35
"2024-08-30 00:00:00";403;;;;37
"2024-08-31 00:00:00";390;;;;
"2024-09-01 00:00:00";363;;;;
"2024-09-02 00:00:00";379;;;;
"2024-09-03 00:00:00";391;;;;
"2024-09-04 00:00:00";346;;;;
"2024-09-05 00:00:00";286;;;;
"2024-09-06 00:00:00";346;;;;
"2024-09-07 00:00:00";346;;;;
"2024-09-08 00:00:00";342;;;;
"2024-09-09 00:00:00";339;;;;
"2024-09-10 00:00:00";285;;;;
"2024-09-11 00:00:00";309;;;;
"2024-09-12 00:00:00";337;;;;
"2024-09-13 00:00:00";272;;;;
"2024-09-14 00:00:00";240;;;;
"2024-09-15 00:00:00";241;;;;
"2024-09-16 00:00:00";248;;;;
"2024-09-17 00:00:00";304;;;;
"2024-09-18 00:00:00";301;;;;
"2024-09-19 00:00:00";263;;;;
"2024-09-20 00:00:00";315;;;;
"2024-09-21 00:00:00";403;;;;
"2024-09-22 00:00:00";407;;;;
"2024-09-23 00:00:00";454;;;;
"2024-09-24 00:00:00";397;;;;
"2024-09-25 00:00:00";311;;;;
"2024-09-26 00:00:00";283;;;;
"2024-09-27 00:00:00";373;;;;
"2024-09-28 00:00:00";244;;;;
"2024-09-29 00:00:00";264;;;;
"2024-09-30 00:00:00";319;;;;
"2024-10-01 00:00:00";402;;;;
"2024-10-02 00:00:00";404;;;;
"2024-10-03 00:00:00";355;;;;
"2024-10-04 00:00:00";369;;;;
"2024-10-05 00:00:00";368;;;;
"2024-10-06 00:00:00";402;;;;
"2024-10-07 00:00:00";533;;;;
"2024-10-08 00:00:00";590;;;;
"2024-10-09 00:00:00";462;;;;
"2024-10-10 00:00:00";309;;;;
"2024-10-11 00:00:00";282;;;;
"2024-10-12 00:00:00";413;;;;
"2024-10-13 00:00:00";369;;;;
"2024-10-14 00:00:00";292;;;;
"2024-10-15 00:00:00";239;;;;25
"2024-10-16 00:00:00";287;;;;23
"2024-10-17 00:00:00";252;;;;28
"2024-10-18 00:00:00";309;;;;27
