Dátum,Utolsó ár
2018-03-01,37767.85
2018-03-02,36939.18
2018-03-05,37119.66
2018-03-06,38008.47
2018-03-07,38186.2
2018-03-08,38670.63
2018-03-09,38411.5
2018-03-12,38822.65
2018-03-13,38663.67
2018-03-14,38891.24
2018-03-15,38650.81
2018-03-16,38410.38
2018-03-19,37689.09
2018-03-20,37954.29
2018-03-21,38236.94
2018-03-22,37350.75
2018-03-23,36940.37
2018-03-26,37087.05
2018-03-27,37300.96
2018-03-28,36783.31
2018-03-29,37258.9
2018-03-30,37380.63
2018-04-02,37745.81
2018-04-03,37867.54
2018-04-04,37275.42
2018-04-05,38065.04
2018-04-06,37962.26
2018-04-09,38306.34
2018-04-10,37882.42
2018-04-11,37971.57
2018-04-12,38330.37
2018-04-13,38351.65
2018-04-16,38296.28
2018-04-17,38154.2
2018-04-18,38766.49
2018-04-19,38663.1
2018-04-20,38122.87
2018-04-23,38123.45
2018-04-24,37892.9
2018-04-25,38049.97
2018-04-26,38265.35
2018-04-27,38295.72
2018-04-30,38100.19
2018-05-01,38035.01
2018-05-02,37969.84
2018-05-03,37660.99
2018-05-04,37916.31
2018-05-07,37541.33
2018-05-08,37164.55
2018-05-09,36588.26
2018-05-10,36740.21
2018-05-11,37644.06
2018-05-14,38602.89
2018-05-15,37663.78
2018-05-16,37574.99
2018-05-17,37538.04
2018-05-18,36770.93
2018-05-21,36493.31
2018-05-22,36400.77
2018-05-23,35456.52
2018-05-24,35892.62
2018-05-25,35758.06
2018-05-28,35373.59
2018-05-29,34883.94
2018-05-30,34837.13
2018-05-31,35356.83
2018-06-01,35952.68
2018-06-04,37194.37
2018-06-05,36677.56
2018-06-06,37157.46
2018-06-07,37401.25
2018-06-08,36738.31
2018-06-11,36606.38
2018-06-12,36348.11
2018-06-13,35868.59
2018-06-14,36654.57
2018-06-15,36038.96
2018-06-18,35505.46
2018-06-19,34972.35
2018-06-20,35383.57
2018-06-21,35049.55
2018-06-22,35396.62
2018-06-25,35064.75
2018-06-26,35352.03
2018-06-27,35587.46
2018-06-28,35258.85
2018-06-29,36127.71
2018-07-02,35867.75
2018-07-03,36204.3
2018-07-04,36600.25
2018-07-05,36335.09
2018-07-06,35775.73
2018-07-09,35676.82
2018-07-10,35403.2
2018-07-11,35063.07
2018-07-12,35485.87
2018-07-13,35641.76
2018-07-16,35267.07
2018-07-17,34751.13
2018-07-18,34720.31
2018-07-19,35117.83
2018-07-20,35186.52
2018-07-23,35141.03
2018-07-24,35049.71
2018-07-25,34963.19
2018-07-26,35624.91
2018-07-27,35943.64
2018-07-30,35931.23
2018-07-31,35742.06
2018-08-01,36207.72
2018-08-02,36035.46
2018-08-03,36760
2018-08-06,37259.8
2018-08-07,37087.75
2018-08-08,36954.16
2018-08-09,36844.99
2018-08-10,36171.26
2018-08-13,35693.83
2018-08-14,36006.2
2018-08-15,35826.14
2018-08-16,36472.99
2018-08-17,36436.96
2018-08-20,36864.99
2018-08-21,37007.66
2018-08-22,36365.9
2018-08-23,36186.31
2018-08-24,36192.13
2018-08-27,36685.79
2018-08-28,36818.93
2018-08-29,37234.86
2018-08-30,37225.08
2018-08-31,37233.4
2018-09-03,36971.86
2018-09-04,36968.11
2018-09-05,37135.33
2018-09-06,37241.82
2018-09-07,37189.98
2018-09-10,37202.89
2018-09-11,36371.94
2018-09-12,36104.07
2018-09-13,36156.04
2018-09-14,36269.17
2018-09-17,35819.9
2018-09-18,36110.89
2018-09-19,36386.4
2018-09-20,36134.33
2018-09-21,35783.48
2018-09-24,35786.54
2018-09-25,35868.88
