StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        53810; 20120901;20250606; 47.7125;  20.9531;     89.0;Tiszacsege Tiszapart                    ;Hajdú-Bihar           ;EOR
        53811; 20210818;20250606; 47.6783;  20.9878;     93.0;Tiszacsege                              ;Hajdú-Bihar           ;EOR
        54107; 19980810;20250606; 47.5200;  20.1489;     93.4;Jászapáti                               ;Jász-Nagykun-Szolnok  ;EOR
        54214; 20120901;20250606; 47.5550;  20.3664;     89.0;Hevesvezekény                           ;Heves                 ;EOR
        54306; 19960726;20130705; 47.6447;  20.6478;     89.2;Poroszló                                ;Heves                 ;EOR
        54308; 20120901;20250606; 47.6064;  20.7181;     86.0;Tiszafüred Tiszaörvény                  ;Jász-Nagykun-Szolnok  ;EOR
        54309; 20140521;20250606; 47.6561;  20.6536;     90.7;Poroszló                                ;Heves                 ;EOR
        54501; 20120901;20250606; 47.4208;  20.0392;     87.0;Alattyán                                ;Jász-Nagykun-Szolnok  ;EOR
        54600; 20120901;20250606; 47.3986;  20.4244;     85.0;Tiszaroff                               ;Jász-Nagykun-Szolnok  ;EOR
        54715; 20120901;20170608; 47.3656;  20.6261;     87.0;Kunhegyes                               ;Jász-Nagykun-Szolnok  ;EOR
        54716; 20120901;20250606; 47.4969;  20.5153;     88.0;Kisköre                                 ;Heves                 ;EOR
        54809; 19980119;20061107; 47.4503;  20.9092;     87.1;Kunmadaras                              ;Jász-Nagykun-Szolnok  ;EOR
        54817; 20061107;20250606; 47.4656;  20.8908;     87.8;Kunmadaras külterület                   ;Jász-Nagykun-Szolnok  ;EOR
        55108; 20120901;20250606; 47.2575;  20.1261;     85.0;Zagyvarékas                             ;Jász-Nagykun-Szolnok  ;EOR
        55211; 20051104;20250606; 47.1836;  20.4694;     86.3;Törökszentmiklós                        ;Jász-Nagykun-Szolnok  ;EOR
        55212; 20120901;20250606; 47.2711;  20.3550;     78.0;Csataszög Dobapuszta                    ;Jász-Nagykun-Szolnok  ;EOR
        55213; 20120901;20250606; 47.3033;  20.2561;     84.0;Besenyszög                              ;Jász-Nagykun-Szolnok  ;EOR
        55309; 20170608;20250606; 47.3097;  20.6069;     84.8;Kenderes Bánhalma                       ;Jász-Nagykun-Szolnok  ;EOR
        55405; 20040608;20250606; 47.2894;  20.8903;     87.3;Karcag                                  ;Jász-Nagykun-Szolnok  ;EOR
        55502; 19970101;20121231; 47.1286;  20.2000;     89.0;Szolnok Szandaszőlős                    ;Jász-Nagykun-Szolnok  ;EOR
        55507; 20110905;20250606; 47.1172;  20.2311;     88.8;Szolnok repülőtér                       ;Jász-Nagykun-Szolnok  ;EOR
        55508; 20110706;20250606; 47.1297;  20.2381;     87.8;Szolnok repülőtér (észak)               ;Jász-Nagykun-Szolnok  ;EOR
        55612; 20120901;20250606; 47.0769;  20.4814;     81.0;Kétpó                                   ;Jász-Nagykun-Szolnok  ;EOR
        55706; 20000510;20130508; 47.1064;  20.7400;     84.9;Túrkeve                                 ;Jász-Nagykun-Szolnok  ;EOR
        55806; 20120901;20250606; 47.1528;  20.9169;     81.0;Ecsegfalva                              ;Békés                 ;EOR
        55807; 20120901;20250606; 47.0222;  20.9372;     80.0;Dévaványa                               ;Békés                 ;EOR
        55808; 20140528;20250606; 47.0956;  20.7517;     83.2;Túrkeve                                 ;Jász-Nagykun-Szolnok  ;EOR
        56117; 20120901;20250606; 46.8769;  20.0058;     90.0;Lakitelek                               ;Bács-Kiskun           ;EOR
        56211; 20120901;20250606; 46.8464;  20.2658;     81.0;Kunszentmárton                          ;Jász-Nagykun-Szolnok  ;EOR
        56300; 19980625;20200730; 46.8694;  20.5278;     84.4;Szarvas                                 ;Békés                 ;EOR
        56311; 20120901;20250606; 46.9444;  20.6714;     81.0;Mezőtúr Pusztaperes                     ;Jász-Nagykun-Szolnok  ;EOR
        56312; 20200129;20250606; 46.8697;  20.5275;     85.0;Szarvas                                 ;Békés                 ;EOR
        56408; 20120901;20250606; 46.9392;  20.8464;     81.0;Gyomaendrőd Gyoma                       ;Békés                 ;EOR
        56500; 20120901;20250606; 46.7978;  20.0033;     85.0;Tiszaalpár                              ;Bács-Kiskun           ;EOR
        56603; 20120901;20250606; 46.7219;  20.4631;     77.0;Szentes Mucsihát                        ;Csongrád-Csanád       ;EOR
        56705; 20120901;20250606; 46.7917;  20.6217;     79.0;Csabacsűd Nagyráta                      ;Békés                 ;EOR
        57113; 20120901;20250606; 46.5564;  20.0908;     79.0;Baks                                    ;Csongrád-Csanád       ;EOR
        57202; 19990418;20250606; 46.6131;  20.2861;     79.3;Szentes repülőtér                       ;Csongrád-Csanád       ;EOR
        57204; 20120901;20250606; 46.5789;  20.3544;     77.0;Derekegyház                             ;Csongrád-Csanád       ;EOR
        57311; 20001031;20250606; 46.5442;  20.6875;     87.8;Orosháza                                ;Békés                 ;EOR
        57501; 20120901;20250606; 46.4136;  20.1806;     78.0;Sándorfalva Tisza-part                  ;Csongrád-Csanád       ;EOR
        57601; 20120901;20250606; 46.3592;  20.4561;     78.0;Hódmezővásárhely Szikáncs               ;Csongrád-Csanád       ;EOR
        57612; 20231101;20231101; 46.4022;  20.2528;     78.0;Hódmezővásárhely                        ;Csongrád-Csanád       ;EOR
        57706; 20120901;20220413; 46.4314;  20.6169;     84.0;Békéssámson                             ;Békés                 ;EOR
        57707; 20220413;20250606; 46.4317;  20.6178;     84.0;Békéssámson                             ;Békés                 ;EOR
        57802; 20120901;20250606; 46.4019;  20.8964;     91.0;Mezőkovácsháza                          ;Békés                 ;EOR
        58102; 19971208;20250606; 46.2472;  20.1406;    103.9;Szeged belterület                       ;Csongrád-Csanád       ;EOR
        58104; 19960102;20040505; 46.2553;  20.0903;     81.0;Szeged külterület                       ;Csongrád-Csanád       ;EOR
        58113; 20040505;20191216; 46.2561;  20.0903;     80.8;Szeged külterület                       ;Csongrád-Csanád       ;EOR
        58116; 20191130;20250606; 46.2561;  20.0906;     81.0;Szeged külterület                       ;Csongrád-Csanád       ;EOR
        58209; 20120901;20250606; 46.2064;  20.4658;     81.0;Makó                                    ;Csongrád-Csanád       ;EOR
        58213; 20140522;20250606; 46.1900;  20.3992;     79.7;Kiszombor                               ;Csongrád-Csanád       ;EOR
        58300; 19970925;20250606; 46.3172;  20.7367;     93.8;Pitvaros                                ;Csongrád-Csanád       ;EOR
        58603; 20120901;20250606; 46.1622;  20.2686;     76.0;Kübekháza gátőrház                      ;Csongrád-Csanád       ;EOR
        61104; 19980323;20250606; 48.5106;  21.2350;    156.1;Hidasnémeti                             ;Borsod-Abaúj-Zemplén  ;EOR
        61617; 19990527;20250606; 48.3333;  21.3331;    410.3;Baskó                                   ;Borsod-Abaúj-Zemplén  ;EOR
        61700; 20170829;20250606; 48.3369;  21.5708;    119.0;Sárospatak Malomkőgyár                  ;Borsod-Abaúj-Zemplén  ;EOR
        61709; 19971120;20250606; 48.3808;  21.6589;     99.4;Sátoraljaújhely                         ;Borsod-Abaúj-Zemplén  ;EOR
        62120; 20120901;20250606; 48.3258;  21.1175;    136.0;Encs                                    ;Borsod-Abaúj-Zemplén  ;EOR
        62313; 20120901;20250606; 48.3200;  21.5747;    100.0;Sárospatak                              ;Borsod-Abaúj-Zemplén  ;EOR
        62315; 20120901;20250606; 48.1950;  21.7078;     94.0;Tiszakarád                              ;Borsod-Abaúj-Zemplén  ;EOR
        62409; 20120901;20250606; 48.2739;  21.9569;     96.0;Ricse Szivattyútelep                    ;Borsod-Abaúj-Zemplén  ;EOR
        62411; 20120901;20250606; 48.3078;  21.7944;     95.0;Karcsa                                  ;Borsod-Abaúj-Zemplén  ;EOR
        62412; 20140606;20170428; 48.1733;  21.8375;     95.0;Beszterec                               ;Szabolcs-Szatmár-Bereg;EOR
        62414; 20210825;20250606; 48.2350;  21.7994;    100.0;Tiszacsermely                           ;Borsod-Abaúj-Zemplén  ;EOR
        62506; 20120901;20250606; 48.0314;  21.1683;     89.0;Taktakenéz külterület                   ;Borsod-Abaúj-Zemplén  ;EOR
        62612; 20001128;20250606; 48.1450;  21.3344;    123.8;Tarcal                                  ;Borsod-Abaúj-Zemplén  ;EOR
        62614; 20120901;20250606; 48.1072;  21.4203;     95.0;Tokaj                                   ;Borsod-Abaúj-Zemplén  ;EOR
        62615; 20120901;20250606; 48.0256;  21.3044;     90.0;Tiszalök Arborétum                      ;Szabolcs-Szatmár-Bereg;EOR
        62705; 20120901;20250606; 48.0597;  21.7492;     97.0;Nagyhalász Mága                         ;Szabolcs-Szatmár-Bereg;EOR
        62707; 20210420;20250606; 48.0683;  21.6053;    105.0;Buj Nádastótanya                        ;Szabolcs-Szatmár-Bereg;EOR
        63101; 20051104;20250606; 47.9311;  21.0539;     93.7;Tiszaújváros                            ;Borsod-Abaúj-Zemplén  ;EOR
        63208; 20120901;20250606; 47.8625;  21.3819;     91.0;Hajdúnánás Keleti-főcsatorna            ;Hajdú-Bihar           ;EOR
        63210; 20210610;20250606; 47.9714;  21.4803;     95.0;Tiszavasvári külterület                 ;Szabolcs-Szatmár-Bereg;EOR
        63305; 20210325;20250606; 47.9808;  21.6911;    103.0;Nyíregyháza repülőtér                   ;Szabolcs-Szatmár-Bereg;EOR
        63306; 20231027;20250606; 47.9900;  21.6906;    103.0;Nyíregyháza repülőtér (észak)           ;Szabolcs-Szatmár-Bereg;EOR
        63402; 19960103;20030828; 47.9622;  21.8869;    139.9;Napkor                                  ;Szabolcs-Szatmár-Bereg;EOR
        63411; 20030828;20200828; 47.9622;  21.8869;    141.1;Napkor                                  ;Szabolcs-Szatmár-Bereg;EOR
        63412; 20120901;20250606; 47.8892;  21.8428;    115.0;Nagykálló                               ;Szabolcs-Szatmár-Bereg;EOR
        63413; 20200316;20250606; 47.9622;  21.8869;    141.0;Napkor                                  ;Szabolcs-Szatmár-Bereg;EOR
        63502; 19971220;20250606; 47.8031;  21.1378;     91.7;Folyás                                  ;Hajdú-Bihar           ;EOR
        63510; 20120901;20250606; 47.7917;  21.0081;     88.0;Tiszakeszi                              ;Borsod-Abaúj-Zemplén  ;EOR
        63707; 19990428;20250606; 47.8217;  21.6714;    124.7;Újfehértó                               ;Szabolcs-Szatmár-Bereg;EOR
        64104; 20120901;20250606; 47.6044;  21.0750;     86.0;Hortobágy Halastó                       ;Hajdú-Bihar           ;EOR
        64105; 20130909;20140226; 47.6019;  21.0764;    101.0;Hortobágy Szásztelek                    ;Hajdú-Bihar           ;EOR
        64105; 20141030;20150409; 47.6019;  21.0764;    101.0;Hortobágy Szásztelek                    ;Hajdú-Bihar           ;EOR
        64208; 20120901;20250606; 47.6328;  21.3736;     90.0;Balmazújváros Virágoskút                ;Hajdú-Bihar           ;EOR
        64209; 20210806;20250606; 47.5378;  21.3092;     89.0;Nagyhegyes Elep                         ;Hajdú-Bihar           ;EOR
        64310; 20200130;20250606; 47.5767;  21.5825;    125.0;Debrecen Kismacs                        ;Hajdú-Bihar           ;EOR
        64611; 20120901;20250606; 47.4328;  21.4061;     91.0;Hajdúszoboszló                          ;Hajdú-Bihar           ;EOR
        64704; 19950804;20190322; 47.4903;  21.6108;    106.6;Debrecen                                ;Hajdú-Bihar           ;EOR
        64710; 20161015;20250606; 47.4953;  21.6236;    106.0;Debrecen repülőtér (észak)              ;Hajdú-Bihar           ;EOR
        64711; 20161015;20250606; 47.4844;  21.6056;    106.6;Debrecen repülőtér                      ;Hajdú-Bihar           ;EOR
        64713; 20210623;20250606; 47.3653;  21.5497;     97.0;Derecske Petőfi major                   ;Hajdú-Bihar           ;EOR
        65102; 20120901;20250606; 47.3156;  21.0269;     82.0;Püspökladány Apavára                    ;Hajdú-Bihar           ;EOR
        65105; 19981207;20250606; 47.2308;  21.1472;     85.3;Szerep                                  ;Hajdú-Bihar           ;EOR
