Dátum,Energiafogyasztás
2017-10-23,107.15
2017-10-24,123.34
2017-10-25,128.18
2017-10-26,129.75
2017-10-27,131.22
2017-10-28,119.38
2017-10-29,115.87
2017-10-30,125.99
2017-10-31,129.68
2017-11-01,108.11
2017-11-02,124.42
2017-11-03,126.87
2017-11-04,118.52
2017-11-05,112.68
2017-11-06,127.22
2017-11-07,130.14
2017-11-08,133.35
2017-11-09,133.16
2017-11-10,131.49
2017-11-11,124.28
2017-11-12,117.79
2017-11-13,130.82
2017-11-14,133.87
2017-11-15,133.8
2017-11-16,135.02
2017-11-17,134.92
2017-11-18,123.68
2017-11-19,117.21
2017-11-20,130.96
2017-11-21,136.53
2017-11-22,135.05
2017-11-23,136.24
2017-11-24,134.84
2017-11-25,124.98
2017-11-26,119.58
2017-11-27,133.07
2017-11-28,137.12
2017-11-29,140.79
2017-11-30,142.17
2017-12-01,138.45
2017-12-02,130.41
2017-12-03,122.36
2017-12-04,139.97
2017-12-05,140.71
2017-12-06,140.01
2017-12-07,140.76
2017-12-08,140.51
2017-12-09,129.89
2017-12-10,123.52
2017-12-11,138.7
2017-12-12,138.56
2017-12-13,139.23
2017-12-14,139.95
2017-12-15,135.44
2017-12-16,126.41
2017-12-17,122.48
2017-12-18,135.83
2017-12-19,131.18
2017-12-20,137.31
2017-12-21,135.19
2017-12-22,127.47
2017-12-23,119.42
2017-12-24,107.38
2017-12-25,101.7
2017-12-26,103.03
2017-12-27,111
2017-12-28,114.21
2017-12-29,114.23
2017-12-30,112.96
2017-12-31,109.01
2018-01-01,101.22
2018-01-02,121.54
2018-01-03,129.98
2018-01-04,131.86
2018-01-05,132.43
2018-01-06,122.03
2018-01-07,115.88
2018-01-08,130.72
2018-01-09,134.1
2018-01-10,135.78
2018-01-11,137.36
2018-01-12,136.16
2018-01-13,127.28
2018-01-14,121.73
2018-01-15,138.78
2018-01-16,143.46
2018-01-17,142.3
2018-01-18,139.35
2018-01-19,138.74
2018-01-20,127.27
2018-01-21,122.75
2018-01-22,136.98
2018-01-23,139.98
2018-01-24,139.96
2018-01-25,138.59
2018-01-26,139.52
2018-01-27,126.92
2018-01-28,120.39
2018-01-29,132.43
2018-01-30,134.62
2018-01-31,136.88
2018-02-01,137.12
2018-02-02,136.81
2018-02-03,128.18
2018-02-04,120.23
2018-02-05,136.22
2018-02-06,142.14
2018-02-07,143.31
2018-02-08,143.02
2018-02-09,139.44
2018-02-10,128.56
2018-02-11,120.57
2018-02-12,136.39
2018-02-13,142.06
2018-02-14,142.51
2018-02-15,140.57
2018-02-16,140.17
2018-02-17,128.6
2018-02-18,121.84
2018-02-19,134.93
2018-02-20,142.55
2018-02-21,141.22
2018-02-22,141.79
2018-02-23,140.84
2018-02-24,129.42
2018-02-25,124.67
2018-02-26,141.33
2018-02-27,146.49
2018-02-28,146.73
2018-03-01,146.8
2018-03-02,147.51
2018-03-03,133.47
2018-03-04,125.11
2018-03-05,137.96
2018-03-06,140.93
2018-03-07,137.38
2018-03-08,138.53
2018-03-09,135.94
2018-03-10,128.85
2018-03-11,117.19
2018-03-12,127.82
2018-03-13,127.73
2018-03-14,129.33
2018-03-15,112.15
2018-03-16,116.35
2018-03-17,118.41
2018-03-18,118.1
2018-03-19,136.9
2018-03-20,140.06
2018-03-21,139.3
2018-03-22,138.07
2018-03-23,137.47
2018-03-24,128.62
2018-03-25,116.7
2018-03-26,133.87
2018-03-27,135.33
2018-03-28,134.56
2018-03-29,134.97
2018-03-30,113.6
2018-03-31,112.56
2018-04-01,104.45
2018-04-02,100.48
2018-04-03,122.43
2018-04-04,127.79
2018-04-05,126.74
2018-04-06,127.35
2018-04-07,118.91
2018-04-08,107.89
2018-04-09,119.64
2018-04-10,123.27
2018-04-11,122.78
2018-04-12,122.26
2018-04-13,122.51
2018-04-14,111.86
2018-04-15,105.87
2018-04-16,121.31
2018-04-17,122.78
2018-04-18,121.94
2018-04-19,123.3
2018-04-20,122.02
2018-04-21,115.42
2018-04-22,105.97
2018-04-23,119.91
2018-04-24,122.18
2018-04-25,123.05
2018-04-26,123.2
2018-04-27,120.33
2018-04-28,109.8
2018-04-29,103.79
2018-04-30,103.39
2018-05-01,95.37
2018-05-02,116.86
2018-05-03,121.76
2018-05-04,122.79
2018-05-05,112.69
2018-05-06,103.71
2018-05-07,117.81
2018-05-08,121.71
2018-05-09,123.48
2018-05-10,124.34
2018-05-11,123.72
2018-05-12,111.63
2018-05-13,103.65
2018-05-14,116.73
2018-05-15,121.42
2018-05-16,121.61
2018-05-17,121.69
2018-05-18,120.56
2018-05-19,108.56
2018-05-20,95.39
2018-05-21,94.57
2018-05-22,116.38
2018-05-23,122.76
2018-05-24,125
2018-05-25,123.6
2018-05-26,112.51
2018-05-27,106.63
2018-05-28,122.57
2018-05-29,126
2018-05-30,126.97
2018-05-31,129.6
2018-06-01,128.45
2018-06-02,115.71
2018-06-03,108.74
2018-06-04,123.77
2018-06-05,127.5
2018-06-06,126.86
2018-06-07,124.41
2018-06-08,125.5
2018-06-09,112.92
2018-06-10,106.59
2018-06-11,126.33
2018-06-12,132.38
2018-06-13,127.2
2018-06-14,125.44
2018-06-15,122.65
2018-06-16,112.32
2018-06-17,106.94
2018-06-18,122.12
2018-06-19,127.88
2018-06-20,131.49
2018-06-21,134.65
