20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
;május;4 588,1;194,9;4 783,0;2 525,4;7 308,3;65,4;4,1;62,8
;június;4 644,8;193,9;4 838,7;2 466,7;7 305,4;66,2;4,0;63,6
;július;4 652,2;192,8;4 845,0;2 457,6;7 302,7;66,3;4,0;63,7
;augusztus;4 640,5;189,6;4 830,0;2 469,8;7 299,8;66,2;3,9;63,6
;szeptember;4 652,0;185,2;4 837,2;2 459,6;7 296,9;66,3;3,8;63,8
;október;4 668,6;183,7;4 852,3;2 441,7;7 294,1;66,5;3,8;64,0
;november;4 665,7;183,1;4 848,8;2 442,4;7 291,2;66,5;3,8;64,0
;december;4 654,2;183,2;4 837,4;2 450,9;7 288,3;66,4;3,8;63,9
2022.;január;4 628,4;178,0;4 806,4;2 479,0;7 285,4;66,0;3,7;63,5
;február;4 639,7;178,8;4 818,5;2 465,0;7 283,5;66,2;3,7;63,7
;március;4 661,9;177,7;4 839,6;2 442,0;7 281,6;66,5;3,7;64,0
;április;4 654,2;172,6;4 826,8;2 453,1;7 279,9;66,3;3,6;63,9
;május;4 660,4;169,5;4 829,9;2 448,1;7 278,0;66,4;3,5;64,0
;június;4 686,6;169,5;4 856,1;2 420,0;7 276,1;66,7;3,5;64,4
;július;4 683,8;173,3;4 857,1;2 417,2;7 274,3;66,8;3,6;64,4
;augusztus;4 669,0;175,9;4 844,9;2 427,5;7 272,5;66,6;3,6;64,2
;szeptember;4 709,1;182,3;4 891,4;2 379,2;7 270,6;67,3;3,7;64,8
;október;4 688,0;183,9;4 872,0;2 396,9;7 268,8;67,0;3,8;64,5
;november;4 693,6;187,1;4 880,7;2 387,7;7 268,4;67,1;3,8;64,6
;december;4 681,4;186,3;4 867,7;2 400,2;7 267,9;67,0;3,8;64,4
2023.;január;4 657,3;196,0;4 853,3;2 414,3;7 267,6;66,8;4,0;64,1
;február;4 657,7;198,3;4 856,0;2 408,8;7 264,7;66,8;4,1;64,1
;március;4 678,7;197,9;4 876,6;2 385,5;7 262,1;67,2;4,1;64,4
;április;4 676,8;194,8;4 871,6;2 387,6;7 259,2;67,1;4,0;64,4
;május;4 692,2;193,1;4 885,3;2 371,6;7 256,9;67,3;4,0;64,7
;június;4 715,6;193,2;4 908,8;2 346,0;7 254,7;67,7;3,9;65,0
;július;4 713,3;196,8;4 910,1;2 342,7;7 252,8;67,7;4,0;65,0
;augusztus;4 700,1;200,1;4 900,2;2 350,4;7 250,6;67,6;4,1;64,8
;szeptember;4 730,8;202,6;4 933,3;2 315,3;7 248,6;68,1;4,1;65,3
;október;4 725,1;205,3;4 930,4;2 316,4;7 246,8;68,0;4,2;65,2
;november;4 711,7;207,8;4 919,5;2 324,9;7 244,4;67,9;4,2;65,0
;december;4 694,6;210,2;4 904,7;2 337,4;7 242,1;67,7;4,3;64,8
2024.;január;4 652,1;216,7;4 868,8;2 370,2;7 239,0;67,3;4,5;64,3
;február;4 684,3;218,1;4 902,4;2 333,2;7 235,6;67,8;4,4;64,7
;március;4 710,5;216,4;4 926,9;2 305,8;7 232,7;68,1;4,4;65,1
;április;4 700,7;214,2;4 914,9;2 314,9;7 229,8;68,0;4,4;65,0
;május;4 700,4;211,2;4 911,6;2 315,7;7 227,3;68,0;4,3;65,0
;június;4 724,4;209,7;4 934,0;2 290,8;7 224,8;68,3;4,2;65,4
;július;4 726,0;212,3;4 938,3;2 284,2;7 222,5;68,4;4,3;65,4
;augusztus;4 712,8;214,8;4 927,7;2 292,1;7 219,8;68,3;4,4;65,3
;szeptember;4 698,6;219,8;4 918,3;2 298,9;7 217,2;68,1;4,5;65,1
;október;4 698,5;219,4;4 917,9;2 296,8;7 214,7;68,2;4,5;65,1
;november;4 679,0;221,2;4 900,3;2 311,9;7 212,2;67,9;4,5;64,9
;december;4 678,2;210,1;4 888,3;2 321,0;7 209,4;67,8;4,3;64,9
2025.;január;4 684,4;214,0;4 898,5;2 307,9;7 206,3;68,0;4,4;65,0
;február;4 682,3;219,9;4 902,2;2 277,5;7 179,7;68,3;4,5;65,2
;március;4 701,0;211,2;4 912,2;2 262,1;7 174,2;68,5;4,3;65,5
;április;4 666,5;214,9;4 881,4;2 287,4;7 168,8;68,1;4,4;65,1
;május;;;;;;;;
;június;;;;;;;;
;július;;;;;;;;
;augusztus;;;;;;;;
;szeptember;;;;;;;;
;október;;;;;;;;
;november;;;;;;;;
;december;;;;;;;;
Férfi;;;;;;;;;
2009.;január;2 010,9;205,5;2 216,4;1 461,5;3 678,0;60,3;9,3;54,7
;február;2 020,8;222,5;2 243,3;1 434,5;3 677,8;61,0;9,9;54,9
;március;2 011,6;248,0;2 259,7;1 417,8;3 677,5;61,4;11,0;54,7
;április;2 027,9;216,9;2 244,7;1 432,6;3 677,3;61,0;9,7;55,1
;május;2 051,0;222,3;2 273,3;1 403,8;3 677,1;61,8;9,8;55,8
;június;2 042,2;232,7;2 274,9;1 401,9;3 676,8;61,9;10,2;55,5
;július;2 026,5;223,6;2 250,1;1 426,5;3 676,6;61,2;9,9;55,1
;augusztus;2 037,9;234,3;2 272,2;1 404,2;3 676,3;61,8;10,3;55,4
;szeptember;2 022,5;258,7;2 281,2;1 394,9;3 676,1;62,1;11,3;55,0
;október;2 037,6;225,9;2 263,5;1 412,4;3 675,9;61,6;10,0;55,4
;november;2 026,9;242,7;2 269,6;1 406,1;3 675,6;61,7;10,7;55,1
;december;1 996,3;248,7;2 245,0;1 430,4;3 675,4;61,1;11,1;54,3
2010.;január;1 954,6;255,9;2 210,4;1 464,7;3 675,1;60,1;11,6;53,2
