Név,Dátum,Utolsó ár
BUX,2011.11.15.,16556.94
BUX,2011.11.16.,16730.09
BUX,2011.11.17.,17370.26
BUX,2011.11.18.,17030.14
BUX,2011.11.21.,16789.81
BUX,2011.11.22.,16921.53
BUX,2011.11.23.,16979.37
BUX,2011.11.24.,16973.5
BUX,2011.11.25.,16454.24
BUX,2011.11.28.,16817.87
BUX,2011.11.29.,16937.53
BUX,2011.11.30.,17634.68
BUX,2011.12.01.,17148.48
BUX,2011.12.02.,17447.64
BUX,2011.12.05.,17745.74
BUX,2011.12.06.,17372.45
BUX,2011.12.07.,17209.27
BUX,2011.12.08.,16890.66
BUX,2011.12.09.,17036.03
BUX,2011.12.12.,17121.96
BUX,2011.12.13.,16924.89
BUX,2011.12.14.,16774.82
BUX,2011.12.15.,17024.43
BUX,2011.12.16.,17061.48
BUX,2011.12.19.,17519.07
BUX,2011.12.20.,17650.43
BUX,2011.12.21.,17603.35
BUX,2011.12.22.,17462.51
BUX,2011.12.23.,17504.54
BUX,2011.12.27.,17350.79
BUX,2011.12.28.,17175.01
BUX,2011.12.29.,17275.52
BUX,2011.12.30.,16974.24
BUX,2012.01.02.,17139.97
BUX,2012.01.03.,16989.98
BUX,2012.01.04.,16574.58
BUX,2012.01.05.,16225.09
BUX,2012.01.06.,16107.72
BUX,2012.01.09.,16668.12
BUX,2012.01.10.,17068.69
BUX,2012.01.11.,16759.52
BUX,2012.01.12.,17030.52
BUX,2012.01.13.,17350.24
BUX,2012.01.16.,17368.39
BUX,2012.01.17.,17612.85
BUX,2012.01.18.,18150.3
BUX,2012.01.19.,18500.01
BUX,2012.01.20.,18850.62
BUX,2012.01.23.,19018.87
BUX,2012.01.24.,18849.68
BUX,2012.01.25.,18660.85
BUX,2012.01.26.,19141.28
BUX,2012.01.27.,19286.15
BUX,2012.01.30.,19072.77
BUX,2012.01.31.,18891.07
BUX,2012.02.01.,19148.56
BUX,2012.02.02.,19521.73
BUX,2012.02.03.,19665.68
BUX,2012.02.06.,19900.88
BUX,2012.02.07.,19655.69
BUX,2012.02.08.,19724.34
BUX,2012.02.09.,19453.71
BUX,2012.02.10.,19026.82
BUX,2012.02.13.,19192.51
BUX,2012.02.14.,19046.83
BUX,2012.02.15.,19132.49
BUX,2012.02.16.,18749.76
BUX,2012.02.17.,19147.54
BUX,2012.02.20.,19354.75
BUX,2012.02.21.,19192.62
BUX,2012.02.22.,19055.7
BUX,2012.02.23.,19063.72
BUX,2012.02.24.,19372.48
BUX,2012.02.27.,19168.46
BUX,2012.02.28.,19217.87
BUX,2012.02.29.,19286.54
BUX,2012.03.01.,19227.19
BUX,2012.03.02.,19309.94
BUX,2012.03.05.,19005.86
BUX,2012.03.06.,18615.52
BUX,2012.03.07.,18511.92
BUX,2012.03.08.,18582.69
BUX,2012.03.09.,18803.43
BUX,2012.03.12.,18897.15
BUX,2012.03.13.,19127.38
BUX,2012.03.14.,19378.0
BUX,2012.03.19.,19260.35
BUX,2012.03.20.,19232.77
BUX,2012.03.21.,19053.07
BUX,2012.03.22.,18940.55
BUX,2012.03.23.,19145.7
BUX,2012.03.26.,19101.07
BUX,2012.03.27.,18790.08
BUX,2012.03.28.,18653.05
BUX,2012.03.29.,18617.26
BUX,2012.03.30.,18635.67
BUX,2012.04.02.,18578.36
BUX,2012.04.03.,18345.66
BUX,2012.04.04.,18176.78
BUX,2012.04.05.,18203.2
BUX,2012.04.10.,18035.85
BUX,2012.04.11.,17874.85
BUX,2012.04.12.,17827.86
BUX,2012.04.13.,17337.42
BUX,2012.04.16.,17375.27
BUX,2012.04.17.,17594.98
BUX,2012.04.18.,17551.57
BUX,2012.04.19.,17553.13
BUX,2012.04.20.,17511.01
BUX,2012.04.23.,17125.37
BUX,2012.04.24.,17485.8
BUX,2012.04.25.,18223.52
BUX,2012.04.26.,18184.64
BUX,2012.04.27.,18235.03
BUX,2012.05.02.,18025.36
BUX,2012.05.03.,17871.46
BUX,2012.05.04.,17840.66
BUX,2012.05.07.,17769.72
BUX,2012.05.08.,17523.19
BUX,2012.05.09.,17223.53
BUX,2012.05.10.,17361.38
BUX,2012.05.11.,17319.16
BUX,2012.05.14.,17009.32
BUX,2012.05.15.,16877.46
BUX,2012.05.16.,16538.14
BUX,2012.05.17.,16280.38
BUX,2012.05.18.,16479.22
BUX,2012.05.21.,16599.64
BUX,2012.05.22.,16747.55
BUX,2012.05.23.,16230.31
BUX,2012.05.24.,16327.49
BUX,2012.05.25.,16413.44
BUX,2012.05.29.,16492.86
BUX,2012.05.30.,15978.64
BUX,2012.05.31.,16099.82
BUX,2012.06.01.,16383.93
BUX,2012.06.04.,16494.83
BUX,2012.06.05.,16398.39
BUX,2012.06.06.,16941.35
BUX,2012.06.07.,16990.1
BUX,2012.06.08.,17019.75
BUX,2012.06.11.,16794.83
BUX,2012.06.12.,16889.03
BUX,2012.06.13.,16962.98
BUX,2012.06.14.,16852.05
BUX,2012.06.15.,17256.16
BUX,2012.06.18.,17551.95
BUX,2012.06.19.,17805.75
BUX,2012.06.20.,17791.23
BUX,2012.06.21.,17493.18
BUX,2012.06.22.,17232.59
BUX,2012.06.25.,16806.16
BUX,2012.06.26.,16901.31
BUX,2012.06.27.,16990.96
BUX,2012.06.28.,16783.26
BUX,2012.06.29.,17341.07
BUX,2012.07.02.,17277.24
BUX,2012.07.03.,17461.35
BUX,2012.07.04.,17394.21
BUX,2012.07.05.,17311.96
BUX,2012.07.06.,17096.31
BUX,2012.07.09.,17121.19
BUX,2012.07.10.,17182.22
BUX,2012.07.11.,17309.11
BUX,2012.07.12.,16979.17
BUX,2012.07.13.,17021.96
BUX,2012.07.16.,17220.52
BUX,2012.07.17.,17275.91
BUX,2012.07.18.,17332.33
BUX,2012.07.19.,17309.45
BUX,2012.07.20.,17353.93
BUX,2012.07.23.,16956.07
BUX,2012.07.24.,17084.51
BUX,2012.07.25.,17087.56
BUX,2012.07.26.,17286.99
BUX,2012.07.27.,17688.47
BUX,2012.07.30.,17651.48
BUX,2012.07.31.,17408.02
BUX,2012.08.01.,17535.2
BUX,2012.08.02.,17302.46
BUX,2012.08.03.,17646.2
BUX,2012.08.06.,18007.0
BUX,2012.08.07.,17770.54
BUX,2012.08.08.,17906.08
BUX,2012.08.09.,17889.44
BUX,2012.08.10.,17839.54
